Key,Sync,FromNetwork,ToNetwork,Size,Get Duration(ms),Put Duration(ms),Get
../../../Engine/DerivedDataCache/5/0/6/GSM_AF1606FCEC214373844D2B6CF9DF71C8_PCD3D_SM5_3__BC5N_DEV_SL_NODBUF_TLPVPROPA__3BD3722DD27234725DA1A92CF6208549AB7F8EA6.udd,true,false,false,3234911,4.824299,0.869501,2
../../../Engine/DerivedDataCache/3/1/8/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD.udd,true,false,false,22421,20.737000,0.033099,2
../../../Engine/DerivedDataCache/1/6/9/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B.udd,true,false,false,22714,31.417198,0.015799,2
../../../Engine/DerivedDataCache/4/1/5/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_B21C1AFF42ACD5ADC8C382B3A090A__DD3D508F2B287118D83B2811676DC879755E7F88.udd,true,false,false,4206,22.388000,0.013102,2
../../../Engine/DerivedDataCache/6/4/4/TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E.udd,true,false,false,6349,24.517201,0.016600,2
../../../Engine/DerivedDataCache/6/5/4/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A.udd,true,false,false,6653,28.444503,0.104100,2
../../../Engine/DerivedDataCache/0/8/6/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_C45F0F7D439FAD52041B1EBC5A8A1__9908241BD20DF14A6AE05F8E6CA9BBBE24B07AB6.udd,true,false,false,940,106.621802,0.014599,2
../../../Engine/DerivedDataCache/8/7/3/TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__BA34306FE8A99B5C640F036EF7E052585535A66C.udd,true,false,false,3316,102.555297,0.031002,2
../../../Engine/DerivedDataCache/2/0/9/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFD223CF75__7A19424656F96B568A18CF0A9FD182464ED14C1F.udd,true,false,false,3413023,245.138098,1.742501,2
../../../Engine/DerivedDataCache/7/6/0/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFDAB81C28__27DF0C173A4E830DD1F5365AFDB626F03BF4DDE5.udd,true,false,false,335679,41.896801,0.275899,2
../../../Engine/DerivedDataCache/2/7/2/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFCE894242__1EB273B17DC81A051D30825CDDFD3B4C2F1FEB80.udd,true,false,false,87786,44.519201,0.210699,2
../../../Engine/DerivedDataCache/6/7/1/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFD9DB04D0__291EAC921AC9F9270862DC32AE7A9B3EF9449969.udd,true,false,false,42495,24.913497,0.019699,2
../../../Engine/DerivedDataCache/7/3/0/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFED9A9085__0BFA1898BEFFB7CECC0557920A01903E93A7D18D.udd,true,false,false,46760,0.301402,0.016399,2
../../../Engine/DerivedDataCache/5/7/9/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFED9A9085__672DD92B7D81377891E5DB25B42FFEBAFF65A570.udd,true,false,false,42892,0.181600,0.014000,2
../../../Engine/DerivedDataCache/1/1/0/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFED9A9085__5EE73FADC85A773F2F60488E11CE2ECB88CEF67E.udd,true,false,false,23879,0.155799,0.012200,2
../../../Engine/DerivedDataCache/1/4/2/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFED9A9085__F0808844B96555C434E5862DEB96053577301095.udd,true,false,false,15967,0.964500,0.012498,2
../../../Engine/DerivedDataCache/2/2/4/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFED9A9085__ED1CA404E7CC7666FF7C9278FFB8AFC6E5E34F93.udd,true,false,false,40324,0.493601,0.017501,2
../../../Engine/DerivedDataCache/2/4/9/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFED9A9085__4DD2831A7BF3111837FD6FB6FC1EFB5D3A519D34.udd,true,false,false,39773,1.049399,0.107799,2
../../../Engine/DerivedDataCache/5/1/9/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6.udd,true,false,false,22421,28.533202,0.045400,2
../../../Engine/DerivedDataCache/6/4/2/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_CA__2CE6FF0365BF589446E626D5CE0CA744055C50EB.udd,true,false,false,1710,33.750400,0.020899,2
../../../Engine/DerivedDataCache/3/2/6/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_97A0BECC4C251FC1E__B8D6A9AE3FCCC8A13FFD63358AC14A16F5855640.udd,true,false,false,457,20.284299,0.026401,2
../../../Engine/DerivedDataCache/8/8/4/PHYSX_1D9C17C451EA4FB88CB7A27536A65DB0_PHYSXPC_97A0BECC4C251FC1EC8CB3B8C9097E6__1943E8628E915A5121757A0C6F044359AB969818.udd,true,false,false,1355,6.074999,0.015102,2
../../../Engine/DerivedDataCache/4/3/6/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_28__D1E2022D8D58CD3343A6BDA18DEBC1BED37A92CB.udd,true,false,false,336798,109.157700,0.082299,2
../../../Engine/DerivedDataCache/3/4/3/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_FC4B961048D22E2EF__49E0EB779404C6FCC1483D4CA82B203518D5C893.udd,true,false,false,5521,30.568201,0.013400,2
../../../Engine/DerivedDataCache/9/9/9/PHYSX_1D9C17C451EA4FB88CB7A27536A65DB0_PHYSXPC_FC4B961048D22E2EF4F1078C8C18684__F1619A75B545A6792E6CB1259565107288E87E9D.udd,true,false,false,109317,96.480399,0.025697,2
../../../Engine/DerivedDataCache/4/4/1/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_38__50DD9A9842597A98F26D2B843D7D884055607AA5.udd,true,false,false,2990,33.955999,0.016499,2
../../../Engine/DerivedDataCache/1/6/0/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_F52EBC934853577C3__66CA247DB68C94B97A19FF8605EA5D9E55152D9A.udd,true,false,false,21,10.629300,0.014000,2
../../../Engine/DerivedDataCache/0/2/7/PHYSX_1D9C17C451EA4FB88CB7A27536A65DB0_PHYSXPC_F52EBC934853577C3C5DC087E230336__7E3540CBFD5D4E57A2BCAE877D5D02B46F84E435.udd,true,false,false,809,11.598799,0.018101,2
../../../Engine/DerivedDataCache/4/7/9/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_4A__7BAE285249B901DB7E8D5ABF7EC63A535DCB0020.udd,true,false,false,41534,20.813599,0.015702,2
../../../Engine/DerivedDataCache/2/8/7/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_B40300C148ACE302C__0ACE4A5B47AE07ECB1B4097BD46E349FBFE7418A.udd,true,false,false,937,21.694601,0.013899,2
../../../Engine/DerivedDataCache/9/9/5/PHYSX_1D9C17C451EA4FB88CB7A27536A65DB0_PHYSXPC_B40300C148ACE302C10B02B68CF41F0__49AFF5E0D7D128C66C98ACB0E793F1B962A0F613.udd,true,false,false,11663,35.316397,0.016101,2
../../../Engine/DerivedDataCache/1/9/6/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_B19E8D43472CA8B277E8CCA8993996A__878CA4B0813C95120A256C74CF1AC98FA54BEF64.udd,true,false,false,160068,24.635900,0.026800,2
../../../Engine/DerivedDataCache/1/3/3/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFF713CDE7__B3E2BB9F2E6CD3545577F49071C1CC406D71598E.udd,true,false,false,14318,0.228502,0.019800,2
../../../Engine/DerivedDataCache/6/6/5/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_70__5EAE192FE07B0CA0CD332EF87F5D8915E5677D4A.udd,true,false,false,341622,73.621798,0.100803,2
../../../Engine/DerivedDataCache/5/4/0/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_3FD539AA458F856A3__30053CE3E9901DB2D3AEB0D7507C8DED368DC504.udd,true,false,false,21,53.879499,0.015602,2
../../../Engine/DerivedDataCache/4/8/5/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_7955065B46603C1F01981AAE67F33__5AB65D05EF596D533648DE0108FEE2C7BA407CF7.udd,true,false,false,6653,17.011698,0.017703,2
../../../Engine/DerivedDataCache/1/5/5/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUF8BB574F5__2C7CEE18D4F396FBEDCFD6113435346CFD8EE836.udd,true,false,false,136631,0.435900,0.064403,2
../../../Engine/DerivedDataCache/2/4/7/TEXTURE_814DCC3DC72143F49509781513CB9855_RGBA16F_B138149959E96AA845BD6F4F24B92__69C7B3FD61BE1801E932D86FDC33A033B3526738.udd,true,false,false,16777593,398.009200,4.418798,2
../../../Engine/DerivedDataCache/4/6/4/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_55809E694EE7DB292235CC917A5C5__581C558B12F92DA8D70F4F628DF65CDCF5AECBC8.udd,true,false,false,3614,68.314802,0.016097,2
../../../Engine/DerivedDataCache/2/5/8/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_7BC0404946D77A8C093A10AE0677E__AFBD176B0024CACEDD89C5FD04DBA1FA2128794D.udd,true,false,false,6063,15.127499,0.017200,2
../../../Engine/DerivedDataCache/3/9/8/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_3A78BEB040043019A4DB61AD1C6AC__47F0ABDC498713ED6F98BFB13D1B509E584A2F29.udd,true,false,false,6358,33.139601,0.021201,2
../../../Engine/DerivedDataCache/9/9/4/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFBFAE0D7B__1995F06C047C466B92416A2D28736C102FDCC713.udd,true,false,false,38416,0.195198,0.014402,2
../../../Engine/DerivedDataCache/8/4/3/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUF5F2C2EFB__716800AF91B8E5EC381C336FC8C613F92E94192C.udd,true,false,false,249192,0.437900,0.028398,2
../../../Engine/DerivedDataCache/4/2/2/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__026BD0D5597652AED9C7644143EE6AB59FB39BB5.udd,true,false,false,22714,25.238402,0.029702,2
../../../Engine/DerivedDataCache/3/9/8/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUF8F297B2A__B568A3CE3734F1D071E75FC1839CA61ADB2D9ABD.udd,true,false,false,50988,0.181299,0.015300,2
../../../Engine/DerivedDataCache/3/5/6/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_E2__F146156EE27AE5FFEFE2AF694194EE4D9A6FD5A8.udd,true,false,false,5314,9.206999,0.016201,2
../../../Engine/DerivedDataCache/6/1/8/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_F5368723436B98428__5D9BDA5F9393ED3F4F3DE225BFC29FF8BE60B8F8.udd,true,false,false,21,25.587901,0.015799,2
../../../Engine/DerivedDataCache/4/1/8/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_32B187104DAC02E7FCF8EB9B05E94__3F57941ACE0FA4BD724E8E4557C0A52A0A5DA51F.udd,true,false,false,3024,14.088601,0.015501,2
../../../Engine/DerivedDataCache/8/6/2/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUF9E53DD89__0323EA50EC7A0DCA76003A26D48AB04CD105953A.udd,true,false,false,86479,0.272401,0.014998,2
../../../Engine/DerivedDataCache/5/7/5/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_D5__3F7E8CE9FBC1C6921E0CA2018A82C232175E33A8.udd,true,false,false,376670,83.743900,0.061702,2
../../../Engine/DerivedDataCache/5/6/3/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_540DAD1F47A8B8D30__8AA14ED151856ECD69F2CB9DFE4CC3FCD121BD64.udd,true,false,false,21,21.684501,0.014100,2
../../../Engine/DerivedDataCache/9/8/6/PHYSX_1D9C17C451EA4FB88CB7A27536A65DB0_PHYSXPC_540DAD1F47A8B8D302324EBE6D988CC__69E55F4F2A7273CCE6D141312D050D5161C8A232.udd,true,false,false,127445,89.571100,0.022400,2
../../../Engine/DerivedDataCache/2/4/2/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_A1841A5A48DBDCFF525B3B8EAEBBA__515D2F57EA830B2E31F243AC87DE1956171B0448.udd,true,false,false,7247,8.300498,0.017103,2
../../../Engine/DerivedDataCache/0/2/0/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_F1C25F0F47FCEF77B75CC5A627AFC__1F3107EBF73F58FFC5C68C84E3B78A6AE11AC4A9.udd,true,false,false,3319,9.636499,0.010397,2
../../../Engine/DerivedDataCache/6/2/7/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUF9CCB3422__21AE73181A6830848A99169C226FFA8F6F41B25E.udd,true,false,false,142876,0.326898,0.021201,2
../../../Engine/DerivedDataCache/9/8/0/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5073FAA54CB8C2A4450BEA927C2BC75__E81CAE1A58BD5EEB24ABD422B4706B7EE72D54BA.udd,true,false,false,22714,8.175302,0.018500,2
../../../Engine/DerivedDataCache/1/8/4/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_D0D9981A4FC05CE37AEF7297930CD29__02A7F472D38EEE04B06CEBD33919B0829FADFBBF.udd,true,false,false,22714,33.874299,0.016898,2
../../../Engine/DerivedDataCache/4/8/8/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_A1F5913543DF9135D2D3B9B6D434494__8B2AE5F2475C2677CA1760A510B299AA60EBC792.udd,true,false,false,22714,20.587198,0.019401,2
../../../Engine/DerivedDataCache/4/2/5/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_53F27D1640B32FE55F9E10B39D2E17E__493D5274E6BC87138278D683B5066F85DC29E562.udd,true,false,false,22714,31.316202,0.017598,2
../../../Engine/DerivedDataCache/2/4/8/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_53F27D1640B32FE55F9E10B39D2E17E__4BDF1C9C0BB4ED077C7E7B7C40104B54186C9814.udd,false,false,false,262148,23.715101,0.032403,2
../../../Engine/DerivedDataCache/3/9/6/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_53F27D1640B32FE55F9E10B39D2E17E__D7D5DD03D1C3DA7031EE11D0BC4EEE5B6742071A.udd,false,false,false,65540,32.681301,0.018798,2
../../../Engine/DerivedDataCache/3/0/5/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_C3AD54E1451F4014DEA86E9ACB695__85FABE28722BA8114DBAFB8CE9D2A89F0A946464.udd,true,false,false,6358,13.892397,0.016499,2
../../../Engine/DerivedDataCache/9/9/6/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_0BA4254B4FDE94D42A2C3E8CE0BFC31__5C9A93663C23CF97479587C4E1B0FC25D848DFC9.udd,true,false,false,22714,6.689098,0.016700,2
../../../Engine/DerivedDataCache/6/8/4/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_0BA4254B4FDE94D42A2C3E8CE0BFC31__185E5607EDE1C484E77C64C1843A994270E40316.udd,false,false,false,262148,40.839102,0.027597,2
../../../Engine/DerivedDataCache/6/7/4/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_0BA4254B4FDE94D42A2C3E8CE0BFC31__388B604BC6D21420D0457CD4B1906C8A2B1C7DCB.udd,false,false,false,65540,40.098701,0.019100,2
../../../Engine/DerivedDataCache/9/1/1/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5962FA4E4E1691E76C75058A79271C3__9BABB83A30309C088CD4345590B8ECD562406EE5.udd,true,false,false,22714,9.403601,0.017099,2
../../../Engine/DerivedDataCache/8/1/5/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5962FA4E4E1691E76C75058A79271C3__65F1EB42A89710BC843460BC76DBBCAD01668976.udd,false,false,false,262148,30.664500,0.032999,2
../../../Engine/DerivedDataCache/5/8/3/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5962FA4E4E1691E76C75058A79271C3__D40C65C8ABC603B782C41A076A9189C45DF38BA1.udd,false,false,false,65540,31.554598,0.013798,2
../../../Engine/DerivedDataCache/4/0/8/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_71D5F92C4770773E9912BDA1D720689__9F06CC9F7B35C8E31A5ECD9733AD9E621D09FF93.udd,true,false,false,22714,11.952098,0.016697,2
../../../Engine/DerivedDataCache/9/4/3/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_71D5F92C4770773E9912BDA1D720689__D8F9D3A10312F2868753414AAD221A6A80259EE7.udd,false,false,false,262148,52.094199,0.030700,2
../../../Engine/DerivedDataCache/0/3/7/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_71D5F92C4770773E9912BDA1D720689__4D1A69D207A18D36BA841B345244559C1E3EFCBC.udd,false,false,false,65540,30.686099,0.018299,2
../../../Engine/DerivedDataCache/5/0/7/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_0BEE78D24077FF0FBAC543A128A078D__CA9ECF46D42B6CD357EC3D720687ABD5A5974863.udd,true,false,false,22714,12.984701,0.016302,2
../../../Engine/DerivedDataCache/8/2/5/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_0BEE78D24077FF0FBAC543A128A078D__EDC0ED765738F337FDFA7C073B83070E1C85E2FB.udd,false,false,false,262148,46.073601,0.037301,2
../../../Engine/DerivedDataCache/1/0/4/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_0BEE78D24077FF0FBAC543A128A078D__2A5716B96BAC6702CFFC40CEB97E54DD96E5FDD1.udd,false,false,false,65540,10.191001,0.017099,2
../../../Engine/DerivedDataCache/7/1/8/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_F54F41524C68832440B75BAAC2A5981__6258F4CA8EBDA3505084FEE35A31FCFEF0AAC6EF.udd,true,false,false,22714,9.763498,0.015799,2
../../../Engine/DerivedDataCache/5/0/9/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_F54F41524C68832440B75BAAC2A5981__87EFFF8FAD8655107A2080D97663B2D66335CCF3.udd,false,false,false,262148,42.593401,0.029601,2
../../../Engine/DerivedDataCache/4/6/5/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_F54F41524C68832440B75BAAC2A5981__FEFEF00AFFA2FB71A5113C52A932559284252875.udd,false,false,false,65540,36.795396,0.018999,2
../../../Engine/DerivedDataCache/1/5/7/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_069A6B1344ABFC980870758DFFE631C__DD5F6D8AB8BD7C0E9A0D9B9FF3734E8657232F03.udd,true,false,false,22714,5.828697,0.016399,2
../../../Engine/DerivedDataCache/3/1/4/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_069A6B1344ABFC980870758DFFE631C__88BDFA89371F877E7D14C9D765A2646E4E1DD5F4.udd,false,false,false,262148,40.750101,0.047099,2
../../../Engine/DerivedDataCache/6/0/6/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_069A6B1344ABFC980870758DFFE631C__3A3BB27308230B3BBC9856B188903934639E88CF.udd,false,false,false,65540,41.608799,0.014100,2
../../../Engine/DerivedDataCache/0/5/9/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_7FD9CDFC4E36739D4D63A9A7AD0A859__3213A6CB03D31BECFFCED64E74E6E8AF1B656A21.udd,true,false,false,22421,12.454499,0.017501,2
../../../Engine/DerivedDataCache/2/4/5/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_4ECA96DF463620B9074A2980CE049F1__F64C3DA9720A1816D04D496C03348E0900787AE1.udd,true,false,false,22714,9.980299,0.016402,2
